Accession	Title	BioProject	SRA	Status	Release Date	Created	Updated	Submission	BioSample.name	BioSample.organism_name
SAMN32380243	MIMS Environmental/Metagenome sample from soil metagenome	PRJNA915204	SRR22880507	ToBeReleased	2026-01-01	2022-12-23T06:00:09.560Z	2022-12-23T17:15:29.816Z	SUB12449415	JEP167	soil metagenome
SAMN32380242	MIMS Environmental/Metagenome sample from soil metagenome	PRJNA915204	SRR22880544	ToBeReleased	2026-01-01	2022-12-23T06:00:09.550Z	2022-12-23T17:15:29.623Z	SUB12449415	JEP166	soil metagenome
SAMN32380241	MIMS Environmental/Metagenome sample from soil metagenome	PRJNA915204	SRR22880546	ToBeReleased	2026-01-01	2022-12-23T06:00:09.540Z	2022-12-23T17:15:29.423Z	SUB12449415	JEP165	soil metagenome
SAMN32380240	MIMS Environmental/Metagenome sample from soil metagenome	PRJNA915204	SRR22880547	ToBeReleased	2026-01-01	2022-12-23T06:00:09.530Z	2022-12-23T17:15:29.210Z	SUB12449415	JEP164	soil metagenome
SAMN32380332	MIMS Environmental/Metagenome sample from soil metagenome	PRJNA915204	SRR22880548	ToBeReleased	2026-01-01	2022-12-23T06:00:10.560Z	2022-12-23T17:15:29.020Z	SUB12449415	JTS24	soil metagenome
SAMN32380239	MIMS Environmental/Metagenome sample from soil metagenome	PRJNA915204	SRR22880549	ToBeReleased	2026-01-01	2022-12-23T06:00:09.520Z	2022-12-23T17:15:28.800Z	SUB12449415	JEP163	soil metagenome
SAMN32380238	MIMS Environmental/Metagenome sample from soil metagenome	PRJNA915204	SRR22880550	ToBeReleased	2026-01-01	2022-12-23T06:00:09.510Z	2022-12-23T17:15:28.596Z	SUB12449415	JEP162	soil metagenome
SAMN32380237	MIMS Environmental/Metagenome sample from soil metagenome	PRJNA915204	SRR22880551	ToBeReleased	2026-01-01	2022-12-23T06:00:09.500Z	2022-12-23T17:15:28.396Z	SUB12449415	JEP161	soil metagenome
SAMN32380228	MIMS Environmental/Metagenome sample from soil metagenome	PRJNA915204	SRR22880553	ToBeReleased	2026-01-01	2022-12-23T06:00:09.410Z	2022-12-23T17:15:28.146Z	SUB12449415	JEP152	soil metagenome
SAMN32380092	MIMS Environmental/Metagenome sample from soil metagenome	PRJNA915204	SRR22880552	ToBeReleased	2026-01-01	2022-12-23T06:00:07.676Z	2022-12-23T17:15:27.933Z	SUB12449415	JEP16	soil metagenome
SAMN32380227	MIMS Environmental/Metagenome sample from soil metagenome	PRJNA915204	SRR22880554	ToBeReleased	2026-01-01	2022-12-23T06:00:09.400Z	2022-12-23T17:15:27.736Z	SUB12449415	JEP151	soil metagenome
SAMN32380226	MIMS Environmental/Metagenome sample from soil metagenome	PRJNA915204	SRR22880555	ToBeReleased	2026-01-01	2022-12-23T06:00:09.390Z	2022-12-23T17:15:27.550Z	SUB12449415	JEP150	soil metagenome
SAMN32380091	MIMS Environmental/Metagenome sample from soil metagenome	PRJNA915204	SRR22880556	ToBeReleased	2026-01-01	2022-12-23T06:00:07.663Z	2022-12-23T17:15:27.343Z	SUB12449415	JEP15	soil metagenome
SAMN32380331	MIMS Environmental/Metagenome sample from soil metagenome	PRJNA915204	SRR22880559	ToBeReleased	2026-01-01	2022-12-23T06:00:10.550Z	2022-12-23T17:15:27.046Z	SUB12449415	JTS23	soil metagenome
SAMN32380325	MIMS Environmental/Metagenome sample from soil metagenome	PRJNA915204	SRR22880373	ToBeReleased	2026-01-01	2022-12-23T06:00:10.490Z	2022-12-23T17:15:26.773Z	SUB12449415	JTS17	soil metagenome
SAMN32380156	MIMS Environmental/Metagenome sample from soil metagenome	PRJNA915204	SRR22880569	ToBeReleased	2026-01-01	2022-12-23T06:00:08.480Z	2022-12-23T17:15:26.526Z	SUB12449415	JEP80	soil metagenome
SAMN32380324	MIMS Environmental/Metagenome sample from soil metagenome	PRJNA915204	SRR22880570	ToBeReleased	2026-01-01	2022-12-23T06:00:10.480Z	2022-12-23T17:15:26.343Z	SUB12449415	JTS16	soil metagenome
SAMN32380154	MIMS Environmental/Metagenome sample from soil metagenome	PRJNA915204	SRR22880572	ToBeReleased	2026-01-01	2022-12-23T06:00:08.456Z	2022-12-23T17:15:26.140Z	SUB12449415	JEP78	soil metagenome
SAMN32380153	MIMS Environmental/Metagenome sample from soil metagenome	PRJNA915204	SRR22880573	ToBeReleased	2026-01-01	2022-12-23T06:00:08.446Z	2022-12-23T17:15:25.720Z	SUB12449415	JEP77	soil metagenome
SAMN32380152	MIMS Environmental/Metagenome sample from soil metagenome	PRJNA915204	SRR22880574	ToBeReleased	2026-01-01	2022-12-23T06:00:08.436Z	2022-12-23T17:15:25.523Z	SUB12449415	JEP76	soil metagenome
SAMN32380151	MIMS Environmental/Metagenome sample from soil metagenome	PRJNA915204	SRR22880575	ToBeReleased	2026-01-01	2022-12-23T06:00:08.423Z	2022-12-23T17:15:25.266Z	SUB12449415	JEP75	soil metagenome
SAMN32380308	MIMS Environmental/Metagenome sample from soil metagenome	PRJNA915204	SRR22880577	ToBeReleased	2026-01-01	2022-12-23T06:00:10.313Z	2022-12-23T17:15:25.060Z	SUB12449415	JEP232	soil metagenome
SAMN32380150	MIMS Environmental/Metagenome sample from soil metagenome	PRJNA915204	SRR22880576	ToBeReleased	2026-01-01	2022-12-23T06:00:08.413Z	2022-12-23T17:15:24.833Z	SUB12449415	JEP74	soil metagenome
SAMN32380307	MIMS Environmental/Metagenome sample from soil metagenome	PRJNA915204	SRR22880579	ToBeReleased	2026-01-01	2022-12-23T06:00:10.303Z	2022-12-23T17:15:24.650Z	SUB12449415	JEP231	soil metagenome
SAMN32380306	MIMS Environmental/Metagenome sample from soil metagenome	PRJNA915204	SRR22880580	ToBeReleased	2026-01-01	2022-12-23T06:00:10.293Z	2022-12-23T17:15:24.460Z	SUB12449415	JEP230	soil metagenome
SAMN32380305	MIMS Environmental/Metagenome sample from soil metagenome	PRJNA915204	SRR22880582	ToBeReleased	2026-01-01	2022-12-23T06:00:10.280Z	2022-12-23T17:15:24.290Z	SUB12449415	JEP229	soil metagenome
SAMN32380304	MIMS Environmental/Metagenome sample from soil metagenome	PRJNA915204	SRR22880583	ToBeReleased	2026-01-01	2022-12-23T06:00:10.263Z	2022-12-23T17:15:24.066Z	SUB12449415	JEP228	soil metagenome
SAMN32380303	MIMS Environmental/Metagenome sample from soil metagenome	PRJNA915204	SRR22880584	ToBeReleased	2026-01-01	2022-12-23T06:00:10.250Z	2022-12-23T17:15:23.880Z	SUB12449415	JEP227	soil metagenome
SAMN32380302	MIMS Environmental/Metagenome sample from soil metagenome	PRJNA915204	SRR22880585	ToBeReleased	2026-01-01	2022-12-23T06:00:10.240Z	2022-12-23T17:15:23.583Z	SUB12449415	JEP226	soil metagenome
SAMN32380301	MIMS Environmental/Metagenome sample from soil metagenome	PRJNA915204	SRR22880586	ToBeReleased	2026-01-01	2022-12-23T06:00:10.186Z	2022-12-23T17:15:23.413Z	SUB12449415	JEP225	soil metagenome
SAMN32380312	MIMS Environmental/Metagenome sample from soil metagenome	PRJNA915204	SRR22880419	ToBeReleased	2026-01-01	2022-12-23T06:00:10.353Z	2022-12-23T17:15:23.236Z	SUB12449415	JTS04	soil metagenome
SAMN32380300	MIMS Environmental/Metagenome sample from soil metagenome	PRJNA915204	SRR22880587	ToBeReleased	2026-01-01	2022-12-23T06:00:10.176Z	2022-12-23T17:15:23.063Z	SUB12449415	JEP224	soil metagenome
SAMN32380081	MIMS Environmental/Metagenome sample from soil metagenome	PRJNA915204	SRR22880593	ToBeReleased	2026-01-01	2022-12-23T06:00:07.560Z	2022-12-23T17:15:22.886Z	SUB12449415	JEP5	soil metagenome
SAMN32380181	MIMS Environmental/Metagenome sample from soil metagenome	PRJNA915204	SRR22880599	ToBeReleased	2026-01-01	2022-12-23T06:00:08.806Z	2022-12-23T17:15:22.706Z	SUB12449415	JEP105	soil metagenome
SAMN32380299	MIMS Environmental/Metagenome sample from soil metagenome	PRJNA915204	SRR22880605	ToBeReleased	2026-01-01	2022-12-23T06:00:10.166Z	2022-12-23T17:15:22.520Z	SUB12449415	JEP223	soil metagenome
SAMN32380318	MIMS Environmental/Metagenome sample from soil metagenome	PRJNA915204	SRR22880588	ToBeReleased	2026-01-01	2022-12-23T06:00:10.413Z	2022-12-23T17:15:22.280Z	SUB12449415	JTS10	soil metagenome
SAMN32380298	MIMS Environmental/Metagenome sample from soil metagenome	PRJNA915204	SRR22880606	ToBeReleased	2026-01-01	2022-12-23T06:00:10.156Z	2022-12-23T17:15:22.100Z	SUB12449415	JEP222	soil metagenome
SAMN32380296	MIMS Environmental/Metagenome sample from soil metagenome	PRJNA915204	SRR22880608	ToBeReleased	2026-01-01	2022-12-23T06:00:10.133Z	2022-12-23T17:15:21.913Z	SUB12449415	JEP220	soil metagenome
SAMN32380297	MIMS Environmental/Metagenome sample from soil metagenome	PRJNA915204	SRR22880607	ToBeReleased	2026-01-01	2022-12-23T06:00:10.146Z	2022-12-23T17:15:21.713Z	SUB12449415	JEP221	soil metagenome
SAMN32380294	MIMS Environmental/Metagenome sample from soil metagenome	PRJNA915204	SRR22880611	ToBeReleased	2026-01-01	2022-12-23T06:00:10.110Z	2022-12-23T17:15:21.526Z	SUB12449415	JEP218	soil metagenome
SAMN32380295	MIMS Environmental/Metagenome sample from soil metagenome	PRJNA915204	SRR22880610	ToBeReleased	2026-01-01	2022-12-23T06:00:10.123Z	2022-12-23T17:15:21.340Z	SUB12449415	JEP219	soil metagenome
SAMN32380293	MIMS Environmental/Metagenome sample from soil metagenome	PRJNA915204	SRR22880612	ToBeReleased	2026-01-01	2022-12-23T06:00:10.100Z	2022-12-23T17:15:21.140Z	SUB12449415	JEP217	soil metagenome
SAMN32380292	MIMS Environmental/Metagenome sample from soil metagenome	PRJNA915204	SRR22880613	ToBeReleased	2026-01-01	2022-12-23T06:00:10.090Z	2022-12-23T17:15:20.956Z	SUB12449415	JEP216	soil metagenome
SAMN32380291	MIMS Environmental/Metagenome sample from soil metagenome	PRJNA915204	SRR22880614	ToBeReleased	2026-01-01	2022-12-23T06:00:10.080Z	2022-12-23T17:15:20.763Z	SUB12449415	JEP215	soil metagenome
SAMN32380317	MIMS Environmental/Metagenome sample from soil metagenome	PRJNA915204	SRR22880615	ToBeReleased	2026-01-01	2022-12-23T06:00:10.403Z	2022-12-23T17:15:20.590Z	SUB12449415	JTS09	soil metagenome
SAMN32380290	MIMS Environmental/Metagenome sample from soil metagenome	PRJNA915204	SRR22880616	ToBeReleased	2026-01-01	2022-12-23T06:00:10.066Z	2022-12-23T17:15:20.403Z	SUB12449415	JEP214	soil metagenome
SAMN32380289	MIMS Environmental/Metagenome sample from soil metagenome	PRJNA915204	SRR22880617	ToBeReleased	2026-01-01	2022-12-23T06:00:10.056Z	2022-12-23T17:15:20.220Z	SUB12449415	JEP213	soil metagenome
SAMN32380288	MIMS Environmental/Metagenome sample from soil metagenome	PRJNA915204	SRR22880618	ToBeReleased	2026-01-01	2022-12-23T06:00:10.043Z	2022-12-23T17:15:20.013Z	SUB12449415	JEP212	soil metagenome
SAMN32380287	MIMS Environmental/Metagenome sample from soil metagenome	PRJNA915204	SRR22880619	ToBeReleased	2026-01-01	2022-12-23T06:00:10.033Z	2022-12-23T17:15:19.823Z	SUB12449415	JEP211	soil metagenome
SAMN32380286	MIMS Environmental/Metagenome sample from soil metagenome	PRJNA915204	SRR22880620	ToBeReleased	2026-01-01	2022-12-23T06:00:10.020Z	2022-12-23T17:15:19.626Z	SUB12449415	JEP210	soil metagenome
SAMN32380285	MIMS Environmental/Metagenome sample from soil metagenome	PRJNA915204	SRR22880622	ToBeReleased	2026-01-01	2022-12-23T06:00:09.996Z	2022-12-23T17:15:19.400Z	SUB12449415	JEP209	soil metagenome
SAMN32380316	MIMS Environmental/Metagenome sample from soil metagenome	PRJNA915204	SRR22880626	ToBeReleased	2026-01-01	2022-12-23T06:00:10.393Z	2022-12-23T17:15:19.200Z	SUB12449415	JTS08	soil metagenome
SAMN32380315	MIMS Environmental/Metagenome sample from soil metagenome	PRJNA915204	SRR22880398	ToBeReleased	2026-01-01	2022-12-23T06:00:10.383Z	2022-12-23T17:15:19.006Z	SUB12449415	JTS07	soil metagenome
SAMN32380233	MIMS Environmental/Metagenome sample from soil metagenome	PRJNA915204	SRR22880637	ToBeReleased	2026-01-01	2022-12-23T06:00:09.460Z	2022-12-23T17:15:18.823Z	SUB12449415	JEP157	soil metagenome
SAMN32380225	MIMS Environmental/Metagenome sample from soil metagenome	PRJNA915204		ToBeReleased	2026-01-01	2022-12-23T06:00:09.380Z	2022-12-23T17:15:18.606Z	SUB12449415	JEP149	soil metagenome
SAMN32380224	MIMS Environmental/Metagenome sample from soil metagenome	PRJNA915204		ToBeReleased	2026-01-01	2022-12-23T06:00:09.370Z	2022-12-23T17:15:18.410Z	SUB12449415	JEP148	soil metagenome
SAMN32380219	MIMS Environmental/Metagenome sample from soil metagenome	PRJNA915204	SRR22880641	ToBeReleased	2026-01-01	2022-12-23T06:00:09.320Z	2022-12-23T17:15:18.206Z	SUB12449415	JEP143	soil metagenome
SAMN32380217	MIMS Environmental/Metagenome sample from soil metagenome	PRJNA915204	SRR22880642	ToBeReleased	2026-01-01	2022-12-23T06:00:09.296Z	2022-12-23T17:14:32.116Z	SUB12449415	JEP141	soil metagenome
SAMN32380216	MIMS Environmental/Metagenome sample from soil metagenome	PRJNA915204	SRR22880643	ToBeReleased	2026-01-01	2022-12-23T06:00:09.286Z	2022-12-23T17:14:31.920Z	SUB12449415	JEP140	soil metagenome
SAMN32380116	MIMS Environmental/Metagenome sample from soil metagenome	PRJNA915204	SRR22880604	ToBeReleased	2026-01-01	2022-12-23T06:00:08.010Z	2022-12-23T17:14:31.666Z	SUB12449415	JEP40	soil metagenome
SAMN32380080	MIMS Environmental/Metagenome sample from soil metagenome	PRJNA915204	SRR22880645	ToBeReleased	2026-01-01	2022-12-23T06:00:07.550Z	2022-12-23T17:14:31.460Z	SUB12449415	JEP4	soil metagenome
SAMN32380114	MIMS Environmental/Metagenome sample from soil metagenome	PRJNA915204	SRR22880647	ToBeReleased	2026-01-01	2022-12-23T06:00:07.983Z	2022-12-23T17:14:31.276Z	SUB12449415	JEP38	soil metagenome
SAMN32380112	MIMS Environmental/Metagenome sample from soil metagenome	PRJNA915204	SRR22880649	ToBeReleased	2026-01-01	2022-12-23T06:00:07.960Z	2022-12-23T17:14:30.836Z	SUB12449415	JEP36	soil metagenome
SAMN32380111	MIMS Environmental/Metagenome sample from soil metagenome	PRJNA915204	SRR22880651	ToBeReleased	2026-01-01	2022-12-23T06:00:07.950Z	2022-12-23T17:14:30.643Z	SUB12449415	JEP35	soil metagenome
SAMN32380079	MIMS Environmental/Metagenome sample from soil metagenome	PRJNA915204	SRR22880657	ToBeReleased	2026-01-01	2022-12-23T06:00:07.540Z	2022-12-23T17:14:30.283Z	SUB12449415	JEP3	soil metagenome
SAMN32380223	MIMS Environmental/Metagenome sample from soil metagenome	PRJNA915204		ToBeReleased	2026-01-01	2022-12-23T06:00:09.360Z	2022-12-23T17:14:29.740Z	SUB12449415	JEP147	soil metagenome
SAMN32380221	MIMS Environmental/Metagenome sample from soil metagenome	PRJNA915204	SRR22880662	ToBeReleased	2026-01-01	2022-12-23T06:00:09.340Z	2022-12-23T17:14:28.843Z	SUB12449415	JEP145	soil metagenome
SAMN32380222	MIMS Environmental/Metagenome sample from soil metagenome	PRJNA915204	SRR22880661	ToBeReleased	2026-01-01	2022-12-23T06:00:09.350Z	2022-12-23T17:14:28.336Z	SUB12449415	JEP146	soil metagenome
SAMN32380090	MIMS Environmental/Metagenome sample from soil metagenome	PRJNA915204	SRR22880663	ToBeReleased	2026-01-01	2022-12-23T06:00:07.650Z	2022-12-23T17:14:28.066Z	SUB12449415	JEP14	soil metagenome
SAMN32380089	MIMS Environmental/Metagenome sample from soil metagenome	PRJNA915204	SRR22880664	ToBeReleased	2026-01-01	2022-12-23T06:00:07.640Z	2022-12-23T17:14:27.766Z	SUB12449415	JEP13	soil metagenome
SAMN32380204	MIMS Environmental/Metagenome sample from soil metagenome	PRJNA915204	SRR22880665	ToBeReleased	2026-01-01	2022-12-23T06:00:09.160Z	2022-12-23T17:14:27.050Z	SUB12449415	JEP128	soil metagenome
SAMN32380202	MIMS Environmental/Metagenome sample from soil metagenome	PRJNA915204	SRR22880667	ToBeReleased	2026-01-01	2022-12-23T06:00:09.140Z	2022-12-23T17:14:26.033Z	SUB12449415	JEP126	soil metagenome
SAMN32380200	MIMS Environmental/Metagenome sample from soil metagenome	PRJNA915204	SRR22880669	ToBeReleased	2026-01-01	2022-12-23T06:00:09.116Z	2022-12-23T17:14:25.580Z	SUB12449415	JEP124	soil metagenome
SAMN32380330	MIMS Environmental/Metagenome sample from soil metagenome	PRJNA915204	SRR22880670	ToBeReleased	2026-01-01	2022-12-23T06:00:10.540Z	2022-12-23T17:14:25.180Z	SUB12449415	JTS22	soil metagenome
SAMN32380196	MIMS Environmental/Metagenome sample from soil metagenome	PRJNA915204	SRR22880674	ToBeReleased	2026-01-01	2022-12-23T06:00:09Z	2022-12-23T17:14:24.866Z	SUB12449415	JEP120	soil metagenome
SAMN32380088	MIMS Environmental/Metagenome sample from soil metagenome	PRJNA915204	SRR22880675	ToBeReleased	2026-01-01	2022-12-23T06:00:07.630Z	2022-12-23T17:14:24.530Z	SUB12449415	JEP12	soil metagenome
SAMN32380329	MIMS Environmental/Metagenome sample from soil metagenome	PRJNA915204	SRR22880681	ToBeReleased	2026-01-01	2022-12-23T06:00:10.530Z	2022-12-23T17:14:24.363Z	SUB12449415	JTS21	soil metagenome
SAMN32380311	MIMS Environmental/Metagenome sample from soil metagenome	PRJNA915204	SRR22880682	ToBeReleased	2026-01-01	2022-12-23T06:00:10.343Z	2022-12-23T17:14:24.026Z	SUB12449415	JTS03	soil metagenome
SAMN32380087	MIMS Environmental/Metagenome sample from soil metagenome	PRJNA915204	SRR22880361	ToBeReleased	2026-01-01	2022-12-23T06:00:07.620Z	2022-12-23T17:14:23.780Z	SUB12449415	JEP11	soil metagenome
SAMN32380086	MIMS Environmental/Metagenome sample from soil metagenome	PRJNA915204	SRR22880362	ToBeReleased	2026-01-01	2022-12-23T06:00:07.610Z	2022-12-23T17:14:23.596Z	SUB12449415	JEP10	soil metagenome
SAMN32380077	MIMS Environmental/Metagenome sample from soil metagenome	PRJNA915204	SRR22880363	ToBeReleased	2026-01-01	2022-12-23T06:00:07.500Z	2022-12-23T17:14:23.390Z	SUB12449415	JEP1	soil metagenome
SAMN32380164	MIMS Environmental/Metagenome sample from soil metagenome	PRJNA915204		ToBeReleased	2026-01-01	2022-12-23T06:00:08.570Z	2022-12-23T17:14:23.056Z	SUB12449415	JEP88	soil metagenome
SAMN32380163	MIMS Environmental/Metagenome sample from soil metagenome	PRJNA915204		ToBeReleased	2026-01-01	2022-12-23T06:00:08.556Z	2022-12-23T17:14:22.863Z	SUB12449415	JEP87	soil metagenome
