SampleID2	SampleID	Ward_Batch	pH_Soil	pH_Buffer	Soluble_Salts	Lime	Texture	OM	Nitrate	lbs	Phosphorus	Potassium	Sulfate	Zinc	Iron	Manganese	Copper	Calcium	Magnesium	Sodium	CEC	H_Sat	K_Sat	Ca_Sat	Mg_Sat	Na_Sat	Set
JEP159	JEP159	B	5.2	6.2	0.07	NONE	2	3.5	0.2	0	12.2	131	10.3	2.18	139.9	21.5	1.94	548	231	77	12.9	59	3	20	15	3	Temporal
JEP160	JEP160	B	5.4	6	0.15	NONE	2	3.2	0.4	1	6.2	116	9.2	1.38	134.3	21.3	1.9	275	325	210	15.1	65	2	9	18	6	Temporal
JEP161	JEP161	B	5.2	6.3	0.09	NONE	2	3.9	0.1	0	14.1	151	6.8	2.51	115.8	28.1	1.68	514	144	73	11.8	62	3	22	10	3	Temporal
JEP162	JEP162	B	5.1	6.2	0.17	NONE	2	4	0.2	0	18.5	134	10.9	2.28	163.6	28.8	1.93	316	201	143	12.6	67	3	12	13	5	Temporal
JEP163	JEP163	B	5.1	6.2	0.1	NONE	2	3.9	0.4	1	12.6	136	14.3	2	145.5	25.6	1.64	368	171	67	12.2	68	3	15	12	2	Temporal
JEP164	JEP164	B	5.4	6.1	0.22	NONE	2	3.6	0.2	0	9.1	119	12.1	1.52	139.8	24.5	1.61	263	232	247	13.7	66	2	10	14	8	Temporal
JEP165	JEP165	B	5.4	6.1	0.14	NONE	2	4.8	0.5	1	11	320	10.2	3.73	130.4	22.5	1.75	785	257	46	16.1	56	5	24	13	1	Temporal
JEP166	JEP166	B	5.4	6.1	0.27	NONE	2	4.1	0.2	0	21.9	158	18.5	2.09	186.9	22	1.95	310	353	204	15.3	62	3	10	19	6	Temporal
JEP167	JEP167	B	5.1	6.1	0.21	NONE	2	3.9	0.1	0	9.8	135	5.6	2.32	142	31.7	2.04	610	246	90	14.8	61	2	20	14	3	Temporal
JEP168	JEP168	B	5.2	6	0.28	NONE	2	4	0.1	0	8.1	101	13.4	1.9	165.6	29.7	1.94	278	311	211	15.4	66	2	9	17	6	Temporal
JEP169	JEP169	B	5.2	6.3	0.12	NONE	2	3.6	0.3	1	9.7	132	7.8	2.73	145.3	30.3	1.75	513	139	70	11.5	62	3	22	10	3	Temporal
JEP170	JEP170	B	4.9	6	0.23	NONE	2	3.9	0.4	1	17.5	109	15.2	2.08	198.5	25.3	1.8	264	169	135	13.4	73	2	10	11	4	Temporal
JEP171	JEP171	B	5	5.9	0.09	NONE	2	3.6	0.2	0	12.4	86	9.9	1.67	130.3	23.9	1.67	374	169	54	14.6	74	2	12	10	2	Temporal
JEP172	JEP172	B	5.3	6.3	0.39	NONE	2	3.9	0.2	0	10.2	171	23.7	1.71	102.5	35.7	1.59	302	262	284	12.9	58	3	12	17	10	Temporal
JEP173	JEP173	B	5.1	6.2	0.15	NONE	2	4.8	0.2	0	10.2	204	13.6	3.25	140.3	28.3	1.78	817	261	47	14.6	52	4	28	15	1	Temporal
JEP174	JEP174	B	5.5	6.3	0.33	NONE	2	4.3	0.2	0	21.5	187	23.9	2.46	167.8	31.1	2.25	337	509	301	15	49	3	11	28	9	Temporal
JEP175	JEP175	B	5	6.1	0.11	NONE	2	3.9	0.2	0	6.1	129	11.5	2.12	162.4	33.9	1.92	562	206	72	14.7	65	2	19	12	2	Temporal
JEP176	JEP176	B	5.2	5.8	0.17	NONE	2	4.2	0.1	0	13.5	119	16.3	2.1	191	30.5	2.28	342	314	160	17.4	69	2	10	15	4	Temporal
JEP177	JEP177	C	5.1	6.2	0.21	NONE	2	4.4	0.4	1	12.9	158	9.7	2.74	129.4	39.7	1.81	615	158	82	13.4	61	3	23	10	3	Temporal
JEP178	JEP178	C	5	6.1	0.26	NONE	2	4.2	0.1	0	20	162	15.4	2.28	213.2	31.5	1.95	325	181	142	13.4	69	3	12	11	5	Temporal
JEP179	JEP179	C	5	6.1	0.12	NONE	2	3.2	< 0.1	0	9.5	90	9.9	1.38	153.1	24.8	1.8	383	171	80	12.7	69	2	15	11	3	Temporal
JEP180	JEP180	C	5.4	6.3	0.36	NONE	2	3.1	0.2	0	9.4	175	15.5	1.24	126.2	25	1.79	315	312	282	13.1	56	3	12	20	9	Temporal
JEP181	JEP181	C	5.3	6.2	0.16	NONE	2	4.9	0.4	1	12	188	7	2.92	148.2	31.6	1.85	875	260	45	15.1	52	3	29	14	1	Temporal
JEP182	JEP182	C	5.7	6.4	0.72	NONE	2	4	0.1	0	20	345	34.3	1.88	143.7	38.4	2.58	410	601	405	15.4	37	6	13	33	11	Temporal
JEP183	JEP183	C	5	6.2	0.19	NONE	2	4	0.1	0	10.9	125	11.2	1.93	186.8	36.8	1.92	564	210	84	13.7	62	2	20	13	3	Temporal
JEP184	JEP184	C	5.3	6.1	0.32	NONE	2	3.8	< 0.1	0	15	139	15.9	1.7	171.8	36.3	2.18	389	377	196	15.8	60	2	12	20	5	Temporal
JEP185	JEP185	C	5.2	6.3	0.17	NONE	2	4.2	0.3	1	11.7	244	12.1	2.43	131.2	34.9	1.75	578	159	68	12.3	58	5	23	11	2	Temporal
JEP186	JEP186	C	5.1	6.2	0.26	NONE	2	3.4	0.4	1	16.5	170	13.9	1.63	161.7	26.8	1.91	334	211	140	13	66	3	12	14	5	Temporal
JEP187	JEP187	C	5.1	6.2	0.13	NONE	2	3.7	1.3	2	11.1	143	11.3	1.39	155.3	26.8	1.65	420	180	59	12.4	66	3	17	12	2	Temporal
JEP188	JEP188	C	5.2	6.4	0.59	NONE	2	3.3	0.3	1	8.6	264	33	1.26	119.9	28.4	1.75	316	248	273	11.6	53	6	13	18	10	Temporal
JEP189	JEP189	C	5.4	6.3	0.15	NONE	2	4.9	0.5	1	12.3	237	9.2	3.53	130.9	31.1	1.7	936	268	43	15.1	49	4	31	15	1	Temporal
JEP190	JEP190	C	5.5	6.3	0.41	NONE	2	4.1	0.2	0	23.5	193	32.5	1.84	206.4	28.3	2.4	353	466	303	14.4	48	3	12	27	9	Temporal
JEP191	JEP191	C	5.3	6.3	0.16	NONE	2	3.7	< 0.1	0	13.4	161	7.8	1.66	187.7	36.7	2.03	581	201	78	12.6	58	3	23	13	3	Temporal
JEP192	JEP192	C	5.1	6.1	0.48	NONE	2	4.5	0.1	0	11.8	137	11.8	1.72	174.3	35.3	1.85	340	292	182	13.9	62	3	11	18	6	Temporal
JEP193	JEP193	C	5.1	6.2	0.16	NONE	2	3.9	0.2	0	11.4	154	8.7	2.43	123.4	38.7	1.85	569	150	61	12.5	62	3	23	10	2	Temporal
JEP194	JEP194	C	5.3	6.2	0.1	NONE	2	3	0.2	0	14.5	187	11.4	1.48	123.8	30.7	2	357	198	109	12.3	64	4	15	13	4	Temporal
JEP195	JEP195	C	5	6.2	0.1	NONE	2	3.3	0.5	1	10.3	92	14.6	1.24	131.9	28.1	1.82	356	177	103	12.4	68	2	14	12	4	Temporal
JEP196	JEP196	C	5.2	6.3	0.4	NONE	2	3.5	0.2	0	10.7	179	30.8	1.6	117.4	30.4	1.8	327	271	310	12.3	54	4	13	18	11	Temporal
JEP197	JEP197	C	5.2	6.2	0.15	NONE	2	5.3	0.3	1	12.7	186	16	3.49	136.3	31.8	1.78	872	271	56	15	51	3	29	15	2	Temporal
JEP198	JEP198	C	5.5	6.3	0.32	NONE	2	3.5	0.9	2	16.1	208	29	1.57	137.3	27.3	2.03	342	417	306	13.6	48	4	12	26	10	Temporal
JEP199	JEP199	C	5.2	6.3	0.14	NONE	2	3.9	0.1	0	12.5	132	8.8	1.74	155.4	41.3	2.02	614	212	82	12.9	57	3	23	14	3	Temporal
JEP200	JEP200	C	5.2	6.1	0.19	NONE	2	4.2	0.6	1	15.5	150	12.6	1.99	204.7	34	2.31	359	322	183	14.5	61	3	12	19	5	Temporal
JEP201	JEP201	C	5	6.3	0.22	NONE	2	3.8	19.4	35	10.5	150	9.4	2.47	124.2	16.9	1.6	552	148	70	12.2	62	3	22	10	3	Temporal
JEP202	JEP202	C	5.3	6.2	0.15	NONE	2	3.1	1.7	3	12.7	167	11.4	2.26	194.7	37.6	1.95	378	219	162	12.7	62	3	15	14	6	Temporal
JEP203	JEP203	C	4.8	6.1	0.15	NONE	2	3.4	15.7	28	12.7	107	15.4	1.53	143.3	15.3	1.59	382	174	83	12.6	68	2	15	12	3	Temporal
JEP204	JEP204	C	6.1	6.5	0.08	NONE	2	3.3	4	7	13.4	169	8.3	0.84	303.3	116.7	1.89	286	198	169	9.5	56	5	14	17	8	Temporal
JEP205	JEP205	C	5.1	6.2	0.2	NONE	2	4.8	18.9	34	15.4	197	11.6	2.96	167.7	19.5	1.75	819	269	58	15.3	54	3	26	15	2	Temporal
JEP206	JEP206	C	5.8	6.2	0.24	NONE	2	5	8.8	16	42.2	208	20.6	1.97	326.9	86	2.37	391	514	344	16.1	49	3	12	27	9	Temporal
JEP207	JEP207	C	5.2	6.2	0.13	NONE	2	3.6	7	13	11.7	111	10	1.77	151.7	17.4	1.83	597	219	93	13.4	59	2	22	14	3	Temporal
JEP208	JEP208	C	5.7	6.3	0.14	NONE	2	3.4	2.6	5	19.5	109	8.5	1.46	323.4	95	2.39	328	354	199	12.7	55	2	13	23	7	Temporal
JEP209	JEP209	C	4.9	6.2	0.25	NONE	2	3.5	10.8	19	9.7	115	12.3	1.92	113.3	20.6	1.6	510	131	90	12.1	64	2	21	9	3	Temporal
JEP210	JEP210	C	5.3	6.2	0.11	NONE	2	3.3	9.5	17	13.4	159	10.9	1.55	173.6	16.7	1.91	368	209	119	12.7	65	3	14	14	4	Temporal
JEP211	JEP211	C	4.8	5.9	0.12	NONE	2	3.3	13.6	24	9.4	150	9.6	1.46	147.6	13.1	1.48	379	167	74	14.6	73	3	12	10	2	Temporal
JEP212	JEP212	C	5.5	6.3	0.17	NONE	2	3.3	9.7	17	10.4	149	11.6	1.42	146.9	17	1.75	314	245	190	12.1	60	3	13	17	7	Temporal
JEP213	JEP213	C	4.8	5.9	0.19	NONE	2	4.4	15.1	27	12.5	199	7.8	2.68	183.7	15.2	1.8	863	266	41	18.2	60	3	24	12	1	Temporal
JEP214	JEP214	C	5.4	6.1	0.21	NONE	2	4.5	8.6	15	26.3	160	10.8	2.74	272	19.5	1.91	362	375	228	15	58	3	11	21	7	Temporal
JEP215	JEP215	C	4.7	5.8	0.2	NONE	2	3.1	8.2	15	6.8	91	10.2	1.46	143.1	12.6	1.85	592	228	91	17.6	69	1	17	11	2	Temporal
JEP216	JEP216	C	5.2	6	0.19	NONE	2	4.4	20.1	36	14.6	147	9.4	2.31	209.3	20	1.99	371	311	137	15.1	64	2	12	17	4	Temporal
JEP217	JEP217	C	4.9	5.9	0.14	NONE	2	3.6	5.5	10	9.1	111	11.2	1.99	118.3	18.9	1.73	636	170	77	16.3	68	2	19	9	2	Temporal
JEP218	JEP218	C	5.5	6.3	0.12	NONE	2	3.1	2.6	5	13.5	124	8.6	3.56	156.5	20.3	1.44	350	209	120	11.6	63	3	15	15	4	Temporal
JEP219	JEP219	C	5.2	5.9	0.1	NONE	2	4.4	1.2	2	9.9	120	8.4	1.61	164.8	39	1.29	476	189	56	15	70	2	15	11	2	Temporal
JEP220	JEP220	C	5.8	6.4	0.14	NONE	2	3.5	1	2	12.9	111	6.7	1.31	297.3	61.1	1.75	280	165	128	9.8	63	3	14	14	6	Temporal
JEP221	JEP221	C	5.1	5.9	0.17	NONE	2	6.1	10.1	18	11.4	160	8	1.7	287.8	57.8	1.89	827	248	36	17.8	62	2	23	12	1	Temporal
JEP222	JEP222	C	6.1	6.4	0.12	NONE	2	3.2	4.7	8	16.7	234	8.6	1.97	181.1	138.3	2.12	420	490	193	13.5	44	4	16	30	6	Temporal
JEP223	JEP223	C	5.2	6	0.09	NONE	2	3.6	3.7	7	9.7	119	7.1	1.89	129.1	23.2	1.76	672	225	69	15.5	62	2	22	12	2	Temporal
JEP224	JEP224	C	5.6	6.1	0.09	NONE	2	4.1	1.8	3	14	105	7	1.92	194.3	32.3	1.92	289	262	122	13.2	67	2	10	17	4	Temporal
JEP225	JEP225	C	5.1	6	0.09	NONE	2	4	4.4	8	7.9	135	8.4	2.19	135.2	21	1.64	546	150	44	14.9	70	2	18	8	1	Temporal
JEP226	JEP226	C	5.5	6.2	0.09	NONE	2	4.2	7.2	13	20.3	161	9.2	1.79	215.4	35.6	1.76	347	185	109	12.6	67	3	14	12	4	Temporal
JEP227	JEP227	C	5	5.7	0.08	NONE	2	3.4	1.2	2	6.6	81	8.5	1.52	144.5	14.9	1.5	333	158	100	16.9	79	1	9	8	3	Temporal
JEP228	JEP228	C	5.8	6.3	0.09	NONE	2	3.3	0.8	1	7.8	171	10.9	1.12	150.2	36.4	1.73	319	259	192	11.5	56	4	14	19	7	Temporal
JEP229	JEP229	C	5.3	5.9	0.12	NONE	2	5.5	3.5	6	12.3	222	7.9	3.22	156.9	17.9	1.55	860	263	48	18.5	61	3	23	12	1	Temporal
JEP230	JEP230	C	6.2	6.4	0.12	NONE	2	3.6	3.9	7	19.4	202	13.1	1.99	258.3	144	2.13	337	486	256	12.9	43	4	13	31	9	Temporal
JEP231	JEP231	C	5.2	5.8	0.08	NONE	2	3.7	1.6	3	10	102	7	2.02	179	19.3	1.89	558	225	80	17	69	2	16	11	2	Temporal
JEP232	JEP232	C	5.8	6.2	0.11	NONE	2	3.5	2.5	5	10.3	129	7.8	1.53	204.9	63	1.7	335	313	153	13.5	61	2	12	19	5	Temporal
JTS01	JTS01	C	5.3	6	0.1	NONE	2	3.7	3.3	6	7.7	186	5.5	2.24	100.3	21	1.4	523	139	45	14	68	3	19	8	1	Spatial
JTS02	JTS02	C	5.6	6.2	0.11	NONE	2	3.1	1.8	3	7.5	87	6.9	1	157	70.9	1.57	356	163	114	11.8	67	2	15	12	4	Spatial
JTS03	JTS03	C	5.3	6	0.1	NONE	2	4.2	1.9	3	7.1	72	8.7	1.05	133.1	41.2	1.64	473	186	68	14.6	70	1	16	11	2	Spatial
JTS04	JTS04	C	5.6	6.2	0.1	NONE	2	3.8	1.4	2	7.3	132	7.7	1.64	95.8	35.5	1.86	565	423	85	15.1	53	2	19	23	2	Spatial
JTS05	JTS05	C	5.1	5.9	0.1	NONE	2	4	3.4	6	9.8	136	7.6	1.61	105.4	31.7	1.65	542	210	42	15.7	68	2	17	11	1	Spatial
JTS06	JTS06	C	5.6	6.3	0.09	NONE	2	3.5	1.4	3	6.7	116	6.8	1.46	69.3	23	1.25	799	236	42	13.7	53	2	29	14	1	Spatial
JTS07	JTS07	C	5.3	5.9	0.1	NONE	2	4	1.8	3	8.4	184	8.3	2.12	151	46.2	1.66	692	174	51	16.3	66	3	21	9	1	Spatial
JTS08	JTS08	C	5.3	6	0.1	NONE	2	4	1.8	3	11.3	165	6.7	2.23	179.3	17.7	1.62	576	180	56	14.9	66	3	19	10	2	Spatial
JTS09	JTS09	C	5.2	5.9	0.09	NONE	2	4	2.3	4	7	172	6.7	2.19	101.1	25.2	1.2	522	147	33	15.1	71	3	17	8	1	Spatial
JTS10	JTS10	C	5.7	6.3	0.11	NONE	2	4.8	1.3	2	7.1	220	6.4	3.31	90	25.2	1.87	1106	299	39	16.2	46	3	34	15	1	Spatial
JTS11	JTS11	C	5.3	6	0.11	NONE	2	4.5	2	4	6.8	193	8.3	2.99	122	28.4	1.59	780	170	27	15.9	63	3	24	9	1	Spatial
JTS12	JTS12	C	5.5	6.2	0.12	NONE	2	6.1	2.3	4	7.8	252	7.3	3.44	86	36.3	1.18	782	167	27	14.5	58	4	27	10	1	Spatial
JTS13	JTS13	C	5.1	5.8	0.11	NONE	2	3.8	1.6	3	8.6	99	10.3	1.41	146.5	28.2	1.49	456	257	83	16.7	70	2	13	13	2	Spatial
JTS14	JTS14	C	5.5	6	0.13	NONE	2	5.3	0.9	2	10.7	176	7.7	2.25	171.2	28.9	2.14	865	372	132	18.1	53	2	24	17	3	Spatial
JTS15	JTS15	C	5.8	6.1	0.12	NONE	2	5.3	1.2	2	10.3	232	5.8	3.5	144.7	24.3	1.66	879	276	52	16.7	55	4	26	14	1	Spatial
JTS16	JTS16	C	5.6	6.2	0.14	NONE	2	4.8	0.5	1	9.3	147	9.7	2.51	94.8	29.7	2.25	1000	563	94	18.8	44	2	27	25	2	Spatial
JTS17	JTS17	C	5.5	6	0.12	NONE	2	3.9	1.5	3	8.9	138	8.8	1.87	84.6	39.3	2.04	686	475	145	18.1	54	2	19	22	3	Spatial
JTS18	JTS18	C	5.4	6	0.14	NONE	2	3.8	1	2	8.5	83	10.6	1.75	100.7	39	1.97	454	378	112	15.9	62	1	14	20	3	Spatial
JTS19	JTS19	C	5.4	6	0.1	NONE	2	4.1	3.6	7	9.2	226	7.6	3.4	165.8	23.4	1.79	815	176	36	16.4	62	4	24	9	1	Spatial
JTS20	JTS20	C	5.4	6	0.1	NONE	2	4.6	0.9	2	8.3	110	11	2.25	112.6	37.9	1.74	543	343	69	16.1	62	2	16	18	2	Spatial
JTS21	JTS21	C	5.1	5.9	0.11	NONE	2	4.3	1.7	3	8.5	199	8.7	1.9	118.8	31.1	1.04	564	161	33	15.6	69	3	18	9	1	Spatial
JTS22	JTS22	C	5.6	6.2	0.1	HIGH	2	4.1	1.6	3	10.5	158	7.9	2.61	112.8	23.3	1.76	714	237	68	14.3	56	3	25	14	2	Spatial
JTS23	JTS23	C	6.1	6.3	0.08	NONE	2	4.2	1.3	2	6.9	115	4.8	3.17	68.7	30.9	1.25	992	196	33	14.1	50	2	35	12	1	Spatial
JTS24	JTS24	C	5.6	6.1	0.11	NONE	2	5.6	0.4	1	7.2	160	11.6	2.4	99.9	27.4	2.36	1246	539	92	20.7	44	2	30	22	2	Spatial
